elapsed_s,stamp_s,x_in_path_frame_m,y_in_path_frame_m,signed_cte_m,tracking_error_m
2.900044918,1787875079.328948021,0.575127296,0.188404792,-0.045030034,0.045030034
2.950855017,1787875079.379758120,0.580576885,0.191892810,-0.044018759,0.044018759
3.000131845,1787875079.429034948,0.584262733,0.194391409,-0.043207006,0.043207006
3.052726746,1787875079.481629848,0.591118336,0.199290376,-0.041466636,0.041466636
3.101041794,1787875079.529944897,0.597919163,0.204389117,-0.039521287,0.039521287
3.151757240,1787875079.580660343,0.604796136,0.209792673,-0.037327200,0.037327200
3.200022697,1787875079.628925800,0.611430774,0.215281230,-0.034958106,0.034958106
3.250294447,1787875079.679197550,0.617623091,0.220701227,-0.032474533,0.032474533
3.301400185,1787875079.730303288,0.624440690,0.227025810,-0.029412842,0.029412842
3.351265192,1787875079.780168295,0.629305679,0.231797794,-0.026990933,0.026990933
3.400054216,1787875079.828957319,0.635510335,0.238203681,-0.023609076,0.023609076
3.451349020,1787875079.880252123,0.622781820,0.263050282,0.004256149,0.004256149
3.501064062,1787875079.929967165,0.627471345,0.269033415,0.007857990,0.007857990
3.551984310,1787875079.980887413,0.631194650,0.273944256,0.010864722,0.010864722
3.600421667,1787875080.029324770,0.635082601,0.279192855,0.014114901,0.014114901
3.650026321,1787875080.078929424,0.638266931,0.283538918,0.016820239,0.016820239
3.700122356,1787875080.129025459,0.640881644,0.287097635,0.019032557,0.019032557
3.750960827,1787875080.179863930,0.643728522,0.290897649,0.021372885,0.021372885
3.800026894,1787875080.228929996,0.648209015,0.296684985,0.024879130,0.024879130
3.850014448,1787875080.278917551,0.652028812,0.301426743,0.027692279,0.027692279
3.900967360,1787875080.329870462,0.655902532,0.306028489,0.030355543,0.030355543
3.949982643,1787875080.378885746,0.660071263,0.310749412,0.033009745,0.033009745
4.000577211,1787875080.429480314,0.666171574,0.317305242,0.036570797,0.036570797
4.052065134,1787875080.480968237,0.674573358,0.301897929,0.019087681,0.019087681
4.100476742,1787875080.529379845,0.707504162,0.339262618,0.040120328,0.040120328
4.150136709,1787875080.579039812,0.714046862,0.343772365,0.041629529,0.041629529
4.200801373,1787875080.629704475,0.721259397,0.348362203,0.042943622,0.042943622
4.251421928,1787875080.680325031,0.727704192,0.352108091,0.043792251,0.043792251
4.300107002,1787875080.729010105,0.735674328,0.356324130,0.044460225,0.044460225
4.352006674,1787875080.780909777,0.742890085,0.359796715,0.044749448,0.044749448
4.400927305,1787875080.829830408,0.750200893,0.363003688,0.044757230,0.044757230
4.450002909,1787875080.878906012,0.761232886,0.367418710,0.044380254,0.044380254
4.502492905,1787875080.931396008,0.767233159,0.369599114,0.043972825,0.043972825
4.550260305,1787875080.979163408,0.777752605,0.373049278,0.042917326,0.042917326
