elapsed_s,stamp_s,x_in_path_frame_m,y_in_path_frame_m,signed_cte_m,tracking_error_m
0.000000000,1787875431.595425844,0.029268195,0.000504489,0.001614333,0.001614333
0.049930334,1787875431.645356178,0.036795213,0.000954156,-0.000990671,0.000990671
0.100984097,1787875431.696409941,0.032457173,0.009463413,0.008543915,0.008543915
0.152554989,1787875431.747980833,0.043785505,0.010765461,0.005196187,0.005196187
0.200133324,1787875431.795559168,0.061780980,0.023946635,0.010059291,0.010059291
0.250942945,1787875431.846368790,0.073954433,0.026236697,0.007277998,0.007277998
0.299928665,1787875431.895354509,0.083602517,0.030015365,0.006872719,0.006872719
0.349967003,1787875431.945392847,0.096628908,0.033441663,0.004790524,0.004790524
0.400976419,1787875431.996402264,0.112523078,0.038209506,0.002787936,0.002787936
0.449956417,1787875432.045382261,0.123955660,0.042071168,0.001743432,0.001743432
0.499995947,1787875432.095421791,0.140689654,0.048350004,0.000788533,0.000788533
0.553386450,1787875432.148812294,0.156488932,0.054854728,0.000415236,0.000415236
0.599945545,1787875432.195371389,0.169811499,0.060769515,0.000494176,0.000494176
0.652525425,1787875432.247951269,0.186458475,0.068612723,0.001007366,0.001007366
0.701239586,1787875432.296665430,0.201179488,0.075890296,0.001774309,0.001774309
0.749990702,1787875432.345416546,0.217873685,0.084445864,0.002921207,0.002921207
0.799946308,1787875432.395372152,0.232348230,0.092018066,0.004056865,0.004056865
0.851776838,1787875432.447202682,0.246534713,0.099477413,0.005204591,0.005204591
0.901453495,1787875432.496879339,0.262816059,0.108000948,0.006487620,0.006487620
0.952858925,1787875432.548284769,0.275678344,0.114647598,0.007421551,0.007421551
1.000198364,1787875432.595624208,0.288798400,0.121276386,0.008235799,0.008235799
1.051033735,1787875432.646459579,0.304924900,0.129180295,0.009013218,0.009013218
1.103410006,1787875432.698835850,0.318924726,0.135801923,0.009468277,0.009468277
1.150566816,1787875432.745992661,0.328724543,0.140252937,0.009618155,0.009618155
1.202202797,1787875432.797628641,0.342622854,0.146294567,0.009582533,0.009582533
1.253399849,1787875432.848825693,0.354979790,0.151434634,0.009338751,0.009338751
1.300515175,1787875432.895941019,0.366658432,0.156087790,0.008920754,0.008920754
1.352245331,1787875432.947671175,0.377713926,0.160307558,0.008355476,0.008355476
1.402461290,1787875432.997887135,0.398725731,0.141014839,-0.017741617,0.017741617
1.450866699,1787875433.046292543,0.412352872,0.145757729,-0.018858399,0.018858399
1.501455545,1787875433.096881390,0.423611926,0.149556547,-0.019890925,0.019890925
1.549953461,1787875433.145379305,0.435741739,0.153543698,-0.021099925,0.021099925
1.602317810,1787875433.197743654,0.447961754,0.157492265,-0.022380428,0.022380428
1.650024652,1787875433.245450497,0.458952953,0.161002840,-0.023569668,0.023569668
1.702445269,1787875433.297871113,0.472910610,0.165454401,-0.025085830,0.025085830
1.750185013,1787875433.345610857,0.486931906,0.170029216,-0.026514580,0.026514580
1.800901890,1787875433.396327734,0.497378190,0.173581933,-0.027446799,0.027446799
1.851082802,1787875433.446508646,0.509482538,0.177908687,-0.028334462,0.028334462
1.900320053,1787875433.495745897,0.521040044,0.182296458,-0.028947040,0.028947040
