bag,lookahead_m,path_frame,odom_frame,samples,rmse_cte_m,mae_cte_m,p95_abs_cte_m,max_abs_cte_m,mean_signed_cte_m
lookahead_0p10_5_0.mcap,0.1,map,odom,862,0.031090147690069937,0.024804195765848577,0.056291428599434895,0.08774077905165548,0.0039572525622189264
lookahead_0p15_2_0.mcap,0.15,map,odom,646,0.03525130803372456,0.026245730487918825,0.07866340068342288,0.10472503957946439,0.0064383682904780104
lookahead_0p20_0.mcap,0.2,map,odom,533,0.030517407609853296,0.023522044381006427,0.06458674971977328,0.08218798779210085,0.00602228456142522
lookahead_0p25_0.mcap,0.25,map,odom,554,0.021437180243173735,0.01633853895942923,0.048210852422707305,0.05995127494043492,0.003185169053807816
lookahead_0p30_0.mcap,0.3,map,odom,455,0.02090817725828407,0.014588851897459232,0.04385050004951383,0.07079854329007766,0.004923237043188455
