elapsed_s,stamp_s,x_in_path_frame_m,y_in_path_frame_m,signed_cte_m,tracking_error_m
0.000000000,1787875520.458688736,0.033320685,0.005097469,0.003060889,0.003060889
0.049793243,1787875520.508481979,0.047479237,0.018403770,0.009257951,0.009257951
0.100931883,1787875520.559620619,0.055441600,0.019713574,0.007131093,0.007131093
0.148322105,1787875520.607010841,0.045741833,0.011652718,0.003844706,0.003844706
0.199080229,1787875520.657768965,0.054265989,0.013664000,0.002121462,0.002121462
0.251254320,1787875520.709943056,0.066886116,0.017085958,-0.000025992,0.000025992
0.298574686,1787875520.757263422,0.076287265,0.020156562,-0.001151647,0.001151647
0.349302292,1787875520.807991028,0.087208330,0.024138443,-0.002082172,0.002082172
0.398768902,1787875520.857457638,0.098715170,0.028823053,-0.002617937,0.002617937
0.449351072,1787875520.908039808,0.110612743,0.034187974,-0.002698056,0.002698056
0.498943806,1787875520.957632542,0.118269927,0.037962179,-0.002457461,0.002457461
0.548653603,1787875521.007342339,0.131587839,0.045347300,-0.001292878,0.001292878
0.599140167,1787875521.057828903,0.140178053,0.050419679,-0.000260910,0.000260910
0.649145603,1787875521.107834339,0.151633551,0.057387092,0.001299933,0.001299933
0.698263645,1787875521.156952381,0.160828661,0.063122255,0.002682382,0.002682382
0.748655558,1787875521.207344294,0.177091085,0.079664692,0.010944714,0.010944714
0.799196005,1787875521.257884741,0.187672240,0.087283935,0.013462411,0.013462411
0.849267721,1787875521.307956457,0.197420928,0.094479027,0.015941380,0.015941380
0.901606321,1787875521.360295057,0.207372180,0.101896575,0.018538176,0.018538176
0.948241472,1787875521.406930208,0.216126928,0.108366923,0.020772434,0.020772434
0.999755144,1787875521.458443880,0.224521641,0.114370272,0.022732171,0.022732171
1.047973871,1787875521.506662607,0.232663989,0.119674584,0.024161587,0.024161587
1.099529982,1787875521.558218718,0.240511805,0.124237776,0.025039995,0.025039995
1.148079634,1787875521.606768370,0.251182354,0.129951596,0.025788293,0.025788293
1.198182106,1787875521.656870842,0.256652425,0.132763395,0.026065270,0.026065270
1.249340773,1787875521.708029509,0.266690884,0.120987083,0.011177267,0.011177267
1.298070192,1787875521.756758928,0.306033660,0.127111402,0.000352317,0.000352317
1.347979546,1787875521.806668282,0.312027821,0.129044135,-0.000388198,0.000388198
1.397956133,1787875521.856644869,0.321463222,0.131706406,-0.001899325,0.001899325
1.448256969,1787875521.906945705,0.329519700,0.133765269,-0.003384455,0.003384455
1.497963428,1787875521.956652164,0.337242964,0.135635011,-0.004902672,0.004902672
1.551451921,1787875522.010140657,0.344480077,0.137082895,-0.006601829,0.006601829
1.598020554,1787875522.056709290,0.350905487,0.138186310,-0.008275932,0.008275932
1.649894238,1787875522.108582973,0.357416230,0.139226235,-0.010043303,0.010043303
1.697945356,1787875522.156634092,0.361840077,0.139832661,-0.011335240,0.011335240
1.748528004,1787875522.207216740,0.365110678,0.140246148,-0.012322065,0.012322065
1.798928499,1787875522.257617235,0.369308454,0.140779331,-0.013586389,0.013586389
1.849461794,1787875522.308150530,0.373163304,0.141278828,-0.014738456,0.014738456
1.898947001,1787875522.357635736,0.369322232,0.137568358,-0.016511113,0.016511113
1.951313734,1787875522.410002470,0.374520157,0.138323379,-0.017990490,0.017990490
2.003539324,1787875522.462228060,0.380635620,0.139341555,-0.019612938,0.019612938
2.050840855,1787875522.509529591,0.386076554,0.140290661,-0.021017130,0.021017130
2.098175287,1787875522.556864023,0.392404661,0.141449612,-0.022600204,0.022600204
2.149352312,1787875522.608041048,0.397850704,0.142629064,-0.023797126,0.023797126
2.198195457,1787875522.656884193,0.403916039,0.144182663,-0.024911953,0.024911953
2.250387192,1787875522.709075928,0.410015301,0.145939541,-0.025856124,0.025856124
2.307013512,1787875522.765702248,0.418544121,0.148709452,-0.026891668,0.026891668
2.349652529,1787875522.808341265,0.424754811,0.150848313,-0.027535019,0.027535019
2.400191545,1787875522.858880281,0.429339589,0.152634277,-0.027821730,0.027821730
2.449005842,1787875522.907694578,0.436580325,0.155967155,-0.027808815,0.027808815
2.498928547,1787875522.957617283,0.442710924,0.159081275,-0.027532221,0.027532221
2.549331903,1787875523.008020639,0.448889442,0.162498797,-0.026999781,0.026999781
2.598572254,1787875523.057260990,0.431312983,0.179719938,-0.004021332,0.004021332
2.650214672,1787875523.108903408,0.438246323,0.184551415,-0.002518016,0.002518016
2.699206352,1787875523.157895088,0.444546464,0.189085132,-0.001021556,0.001021556
2.749619246,1787875523.208307981,0.451181859,0.194137562,0.000806761,0.000806761
2.799487829,1787875523.258176565,0.456672301,0.198557406,0.002537068,0.002537068
2.856325626,1787875523.315014362,0.463873534,0.204672097,0.005095290,0.005095290
2.899867296,1787875523.358556032,0.467573438,0.208063062,0.006636315,0.006636315
2.948695421,1787875523.407384157,0.472285729,0.212568362,0.008768526,0.008768526
2.998624563,1787875523.457313299,0.476242143,0.216474812,0.010671284,0.010671284
3.051451921,1787875523.510140657,0.480267978,0.220503356,0.012656109,0.012656109
3.099717379,1787875523.558406115,0.483358551,0.223623110,0.014204465,0.014204465
3.148093939,1787875523.606782675,0.486050101,0.226358953,0.015570077,0.015570077
3.199074030,1787875523.657762766,0.460182768,0.211089307,0.012466725,0.012466725
3.248155594,1787875523.706844330,0.463226131,0.214339909,0.014153701,0.014153701
3.298676252,1787875523.757364988,0.467064875,0.218395989,0.016241511,0.016241511
3.349750042,1787875523.808438778,0.471283318,0.222649359,0.018350466,0.018350466
3.398084879,1787875523.856773615,0.475489482,0.226740319,0.020316895,0.020316895
3.450763702,1787875523.909452438,0.481610292,0.232566987,0.023063449,0.023063449
3.499412775,1787875523.958101511,0.484650058,0.235330959,0.024309547,0.024309547
3.548193932,1787875524.006882668,0.490513060,0.240417369,0.026490576,0.026490576
3.599660635,1787875524.058349371,0.495566050,0.244575746,0.028165457,0.028165457
