elapsed_s,stamp_s,x_in_path_frame_m,y_in_path_frame_m,signed_cte_m,tracking_error_m
2.599828243,1787875203.562352657,0.595279606,0.258642126,0.011240989,0.011240989
2.650170326,1787875203.612694740,0.600492156,0.263585307,0.013680433,0.013680433
2.699868679,1787875203.662393093,0.607613514,0.270033596,0.016733705,0.016733705
2.749850988,1787875203.712375402,0.609640024,0.268315398,0.014347303,0.014347303
2.800164700,1787875203.762689114,0.619865072,0.276544308,0.017787886,0.017787886
2.851161718,1787875203.813686132,0.680906169,0.275143892,-0.007961536,0.007961536
2.900784016,1787875203.863308430,0.690876438,0.280339930,-0.007197419,0.007197419
2.949827671,1787875203.912352085,0.703064915,0.286072941,-0.006830450,0.006830450
3.000923157,1787875203.963447571,0.710598980,0.289259103,-0.006931220,0.006931220
3.049857616,1787875204.012382030,0.721854407,0.293506745,-0.007551098,0.007551098
3.100817442,1787875204.063341856,0.730742522,0.296483246,-0.008386679,0.008386679
3.149909735,1787875204.112434149,0.738775553,0.298858710,-0.009430170,0.009430170
3.202796936,1787875204.165321350,0.746464799,0.300863764,-0.010675220,0.010675220
3.250104904,1787875204.212629318,0.753091150,0.302401264,-0.011922594,0.011922594
3.300285578,1787875204.262809992,0.759400023,0.303722117,-0.013241200,0.013241200
3.349822760,1787875204.312347174,0.770370032,0.305822083,-0.015714287,0.015714287
3.400067568,1787875204.362591982,0.773892998,0.306456058,-0.016545538,0.016545538
3.451001883,1787875204.413526297,0.778655741,0.300735566,-0.023695405,0.023695405
3.500065327,1787875204.462589741,0.785770456,0.301814192,-0.025558926,0.025558926
3.552319288,1787875204.514843702,0.796851962,0.303480591,-0.028473919,0.028473919
3.600082397,1787875204.562606812,0.807260626,0.305071546,-0.031188342,0.031188342
3.652357578,1787875204.614881992,0.819588541,0.307048285,-0.034318599,0.034318599
3.700271606,1787875204.662796021,0.828701823,0.308634284,-0.036518350,0.036518350
3.757726192,1787875204.720250607,0.841901484,0.311190290,-0.039467319,0.039467319
3.802313566,1787875204.764837980,0.849987924,0.312963111,-0.041084333,0.041084333
3.849873781,1787875204.812398195,0.859891193,0.315445811,-0.042779206,0.042779206
3.901369572,1787875204.863893986,0.872532460,0.319111190,-0.044488000,0.044488000
3.951089382,1787875204.913613796,0.882490155,0.322457570,-0.045413422,0.045413422
4.000928879,1787875204.963453293,0.863707438,0.347890262,-0.014584607,0.014584607
4.050449610,1787875205.012974024,0.874958006,0.353247125,-0.014186318,0.014186318
4.099901676,1787875205.062426090,0.887365715,0.359807491,-0.013149234,0.013149234
4.154684782,1787875205.117209196,0.896798580,0.365266433,-0.011928854,0.011928854
4.200307608,1787875205.162832022,0.906943967,0.371639564,-0.010156525,0.010156525
4.249887228,1787875205.212411642,0.915755174,0.377626186,-0.008203536,0.008203536
4.299820185,1787875205.262344599,0.926634302,0.385567907,-0.005288228,0.005288228
4.349823475,1787875205.312347889,0.933799474,0.391142067,-0.003053357,0.003053357
4.399998903,1787875205.362523317,0.943221125,0.398896599,0.000274639,0.000274639
4.452316523,1787875205.414840937,0.953374427,0.407672348,0.004244971,0.004244971
4.501738310,1787875205.464262724,0.960601979,0.414168195,0.007299251,0.007299251
4.549991131,1787875205.512515545,0.969804796,0.422660309,0.011390700,0.011390700
4.600367308,1787875205.562891722,0.978691449,0.430968643,0.015440504,0.015440504
4.649887323,1787875205.612411737,0.988687167,0.440288122,0.019972141,0.019972141
4.699912786,1787875205.662437201,0.997651716,0.448475912,0.023880285,0.023880285
4.750017881,1787875205.712542295,0.949772777,0.468021700,0.060978082,0.060978082
4.799847364,1787875205.762371778,0.957699136,0.476167805,0.065264162,0.065264162
4.853068352,1787875205.815592766,0.965946584,0.484166378,0.069286381,0.069286381
4.900682449,1787875205.863206863,0.974082763,0.491491437,0.072736154,0.072736154
4.949843645,1787875205.912368059,0.980235043,0.496598157,0.074948763,0.074948763
5.000025272,1787875205.962549686,0.988317923,0.502795242,0.077386497,0.077386497
5.049832106,1787875206.012356520,0.994768126,0.507372850,0.078994944,0.078994944
5.100242615,1787875206.062767029,1.003177010,0.512898868,0.080687207,0.080687207
5.149870872,1787875206.112395287,1.009175557,0.516529098,0.081608737,0.081608737
5.200716734,1787875206.163241148,1.014530466,0.519504131,0.082187988,0.082187988
5.249851704,1787875206.212376118,1.073302078,0.513309651,0.052956101,0.052956101
5.300961494,1787875206.263485909,1.081585211,0.516229880,0.052311454,0.052311454
5.351094723,1787875206.313619137,1.086839463,0.517932056,0.051764911,0.051764911
5.409750462,1787875206.372274876,1.086733390,0.517900356,0.051778385,0.051778385
5.449955702,1787875206.412480116,1.088025856,0.518257099,-0.029321605,0.029321605
5.499838114,1787875206.462362528,1.088061578,0.518266361,-0.029326046,0.029326046
5.551609278,1787875206.514133692,1.086511485,0.517873450,-0.029124953,0.029124953
5.600368261,1787875206.562892675,1.084843054,0.517446784,-0.028912008,0.028912008
5.649956465,1787875206.612480879,1.083950527,0.517213281,-0.028802987,0.028802987
5.700528860,1787875206.663053274,1.083689236,0.517142842,-0.028773006,0.028773006
5.753687382,1787875206.716211796,1.082338130,0.516767398,-0.028628416,0.028628416
5.803042173,1787875206.765566587,1.093267992,0.519790836,-0.029810876,0.029810876
5.849830389,1787875206.812354803,1.093482614,0.519845262,-0.029838696,0.029838696
5.901046753,1787875206.863571167,1.093339601,0.519808710,-0.029820424,0.029820424
5.950351954,1787875206.912876368,1.093577951,0.519869651,-0.029850856,0.029850856
6.002291679,1787875206.964816093,1.094173904,0.520021698,-0.029927250,0.029927250
6.049935579,1787875207.012459993,1.094817665,0.520185394,-0.030010282,0.030010282
6.100692272,1787875207.063216686,1.095175452,0.520275776,-0.030056985,0.030056985
6.150022984,1787875207.112547398,1.095795956,0.520431086,-0.030139319,0.030139319
6.201185226,1787875207.163709641,1.096655492,0.520644621,-0.030254863,0.030254863
6.252213478,1787875207.214737892,1.098136181,0.521010856,-0.030455406,0.030455406
6.304489851,1787875207.267014265,1.100405155,0.521571306,-0.030763421,0.030763421
6.351763248,1787875207.314287663,1.102828697,0.522172840,-0.031089717,0.031089717
6.401532888,1787875207.364057302,1.105286664,0.522788840,-0.031415135,0.031415135
6.452140808,1787875207.414665222,1.065078989,0.518017032,-0.021154472,0.021154472
6.499893904,1787875207.462418318,1.067922146,0.518978774,-0.021298935,0.021298935
6.550747395,1787875207.513271809,1.072849104,0.520651829,-0.021543291,0.021543291
6.600074053,1787875207.562598467,1.080638214,0.523307187,-0.021919919,0.021919919
6.649862528,1787875207.612386942,1.088606001,0.526048271,-0.022282091,0.022282091
6.700263500,1787875207.662787914,1.093917675,0.525038936,-0.025163757,0.025163757
6.753352642,1787875207.715877056,1.105183466,0.528969714,-0.025624543,0.025624543
6.800954342,1787875207.763478756,1.115455892,0.532719646,-0.025890425,0.025890425
6.849933386,1787875207.812457800,1.127034194,0.550692390,-0.013395901,0.013395901
6.900169134,1787875207.862693548,1.139340958,0.555982677,-0.012971955,0.012971955
6.951544523,1787875207.914068937,1.153814501,0.558770324,-0.015669635,0.015669635
7.001214266,1787875207.963738680,1.167191607,0.565544992,-0.014255472,0.014255472
7.049893379,1787875208.012417793,1.181122050,0.573040408,-0.012372802,0.012372802
7.103092909,1787875208.065617323,1.197915565,0.587222055,-0.005313802,0.005313802
7.150454998,1787875208.112979412,1.212352044,0.596034632,-0.002390215,0.002390215
7.199869156,1787875208.162393570,1.225848907,0.604656620,0.000699553,0.000699553
