elapsed_s,stamp_s,x_in_path_frame_m,y_in_path_frame_m,signed_cte_m,tracking_error_m
0.000000000,1787875348.644571304,0.022839332,0.000311907,0.001707595,0.001707595
0.047646761,1787875348.692218065,0.027288494,0.000494740,-0.000083824,0.000083824
0.097966909,1787875348.742538214,0.018726644,-0.001933633,0.001498357,0.001498357
0.147805452,1787875348.792376757,0.025668892,-0.001262657,-0.000950446,0.000950446
0.196801186,1787875348.841372490,0.039379233,0.003862969,-0.002372943,0.002372943
0.246448517,1787875348.891019821,0.048046181,0.005124117,-0.005049741,0.005049741
0.296397686,1787875348.940968990,0.057020382,0.006647908,-0.007625682,0.007625682
0.346341372,1787875348.990912676,0.065564733,0.015890784,-0.003079270,0.003079270
0.396799326,1787875349.041370630,0.076570772,0.018577004,-0.005504198,0.005504198
0.450745106,1787875349.095316410,0.087377887,0.021540604,-0.007592541,0.007592541
0.498829126,1787875349.143400431,0.099580011,0.025258662,-0.009616398,0.009616398
0.546331406,1787875349.190902710,0.109926742,0.028760234,-0.011019163,0.011019163
0.596623182,1787875349.241194487,0.123473529,0.033834172,-0.012416196,0.012416196
0.649308681,1787875349.293879986,0.137203400,0.039484724,-0.013375780,0.013375780
0.700115442,1787875349.344686747,0.150524919,0.045462220,-0.013862205,0.013862205
0.747546196,1787875349.392117500,0.161679441,0.050876911,-0.013901641,0.013901641
0.798372030,1787875349.442943335,0.175304553,0.057976387,-0.013513730,0.013513730
0.848302126,1787875349.492873430,0.188579449,0.065337619,-0.012736766,0.012736766
0.898498774,1787875349.543070078,0.202157063,0.073261202,-0.011587751,0.011587751
0.948025942,1787875349.592597246,0.213200126,0.079924102,-0.010457032,0.010457032
0.998065233,1787875349.642636538,0.225652909,0.087803898,-0.008852925,0.008852925
1.047092676,1787875349.691663980,0.237934912,0.095745229,-0.007118478,0.007118478
1.096541405,1787875349.741112709,0.251479568,0.104610451,-0.005109180,0.005109180
1.146357298,1787875349.790928602,0.263463136,0.112469075,-0.003317844,0.003317844
1.197778702,1787875349.842350006,0.277722850,0.121746604,-0.001252511,0.001252511
1.246403694,1787875349.890974998,0.292947824,0.131479262,0.000797345,0.000797345
1.296444178,1787875349.941015482,0.305446272,0.139263182,0.002295263,0.002295263
1.348100424,1787875349.992671728,0.318746113,0.147269409,0.003640607,0.003640607
1.396845102,1787875350.041416407,0.335241625,0.156781856,0.004934197,0.004934197
1.448499441,1787875350.093070745,0.346230202,0.159157191,0.002237702,0.002237702
1.496310234,1787875350.140881538,0.358732111,0.165590165,0.002520657,0.002520657
1.547154427,1787875350.191725731,0.370235759,0.171187010,0.002491375,0.002491375
1.596901655,1787875350.241472960,0.381913352,0.176589439,0.002211008,0.002211008
1.649608135,1787875350.294179440,0.394515041,0.182187812,0.001700451,0.001700451
1.696377754,1787875350.340949059,0.403952416,0.186241719,0.001193514,0.001193514
1.752704144,1787875350.397275448,0.416999789,0.191675664,0.000339364,0.000339364
1.797400236,1787875350.441971540,0.424639678,0.194766919,-0.000242155,0.000242155
1.847543955,1787875350.492115259,0.439156562,0.200505068,-0.001468991,0.001468991
1.896312952,1787875350.540884256,0.449894437,0.204693733,-0.002426526,0.002426526
1.946255207,1787875350.590826511,0.461380781,0.209163781,-0.003460309,0.003460309
1.998301268,1787875350.642872572,0.472822616,0.213646360,-0.004463274,0.004463274
