elapsed_s,stamp_s,status,icp_attempted,icp_accepted,current_point_count,match_count,inlier_ratio,rmse_m,iterations,converged,icp_processing_time_ms,correction_translation_m,correction_rotation_rad,pose_step_translation_m,pose_step_rotation_rad,accepted_pose_jump_translation_m,accepted_pose_jump_rotation_rad
0.0,1788476974.853194,stationary,False,False,466,,,,,,,,,0.0,0.000242330668945,,
0.602189302444458,1788476975.4553833,stationary,False,False,448,,,,,,,,,0.0,0.000237135419922,,
1.0946452617645264,1788476975.9478393,stationary,False,False,463,,,,,,,,,0.0,9.27913144531e-05,,
1.4937758445739746,1788476976.3469698,stationary,False,False,460,,,,,,,,,0.0,0.000199228998047,,
1.9940063953399658,1788476976.8472004,stationary,False,False,472,,,,,,,,,0.0,0.000198758441625,,
2.5002024173736572,1788476977.3533964,stationary,False,False,474,,,,,,,,,0.0,4.26106642946e-05,,
3.1006503105163574,1788476977.9538443,stationary,False,False,461,,,,,,,,,0.0,0.000149661603065,,
3.5952773094177246,1788476978.4484713,stationary,False,False,462,,,,,,,,,0.0,0.0,,
4.195598602294922,1788476979.0487926,stationary,False,False,459,,,,,,,,,0.0,0.0,,
4.697038888931274,1788476979.550233,stationary,False,False,465,,,,,,,,,0.0,0.0,,
5.195814609527588,1788476980.0490086,stationary,False,False,468,,,,,,,,,0.0,0.0,,
5.600252866744995,1788476980.4534469,icp_accepted,True,True,478,459,0.960251046025,0.0361990769236,3,True,15.225438,0.000742990591308,0.0021923340034,0.011269198041,0.0264508742094,0.000742990591308,0.0021923340034
6.189240455627441,1788476981.0424345,icp_accepted,True,True,455,389,0.854945054945,0.0697171242645,16,True,53.553208,0.025854081248,0.0242105267405,0.0758702368474,0.16778765443,0.025854081248,0.0242105267405
6.588831424713135,1788476981.4420254,icp_accepted,True,True,469,447,0.953091684435,0.0435994880627,14,True,59.451291,0.00539631234063,0.0104814404727,0.0742936282312,0.15884893674,0.00539631234063,0.0104814404727
7.088111400604248,1788476981.9413054,icp_accepted,True,True,458,428,0.934497816594,0.0613771202099,25,True,79.092592,0.0400727377971,0.0854462938816,0.103391897492,0.267642911532,0.0400727377971,0.0854462938816
7.590970039367676,1788476982.444164,icp_accepted,True,True,474,462,0.974683544304,0.0411611207326,13,True,62.421304,0.0246862265031,0.0107567685769,0.145588119535,0.13891137974,0.0246862265031,0.0107567685769
8.092041492462158,1788476982.9452355,icp_accepted,True,True,459,448,0.976034858388,0.04421587328,7,True,26.045846,0.0173170336652,0.00307308554526,0.103330779794,0.282020895756,0.0173170336652,0.00307308554526
8.586198568344116,1788476983.4393926,icp_accepted,True,True,465,463,0.995698924731,0.0223366778497,16,True,83.823325,0.0212116635061,0.0151404638522,0.00212660524905,0.024189542056,0.0212116635061,0.0151404638522
9.088540315628052,1788476983.9417343,icp_accepted,True,True,489,485,0.9918200409,0.026681111865,18,True,80.462109,0.0300369443629,0.0282939359395,0.0446301968729,0.0335153336842,0.0300369443629,0.0282939359395
9.595917224884033,1788476984.4491112,icp_accepted,True,True,472,463,0.98093220339,0.0422862018388,19,True,79.534907,0.048401314889,0.0673187243997,0.117698193221,0.125010276731,0.048401314889,0.0673187243997
10.089447736740112,1788476984.9426417,icp_accepted,True,True,472,455,0.963983050847,0.0322734641232,18,True,58.39859,0.0468289401237,0.0259065874265,0.167050808055,0.110597451229,0.0468289401237,0.0259065874265
10.589794158935547,1788476985.4429882,icp_accepted,True,True,467,458,0.980728051392,0.0358273797701,15,True,47.334312,0.0645446316172,0.0281954673928,0.0331088603983,0.0994082511725,0.0645446316172,0.0281954673928
